Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
9/7/2015,"1,609","3,184",1.7,0,"1,426",0,0,14,156
9/8/2015,"1,726","2,512",1.07,0,"1,269",107,0,0,332
9/9/2015,"2,280","11,516",5.39,0,674,172,19,37,980
9/10/2015,"2,063","6,274",2.67,0,663,212,22,0,752
9/11/2015,"2,112","9,051",4.35,0,745,147,2,25,739
9/12/2015,"1,975","5,011",2.13,0,673,200,0,0,630
9/13/2015,"1,950","4,754",2.02,0,635,192,0,0,606
9/14/2015,"2,601","16,094",7.31,0,619,281,17,35,"1,386"
9/15/2015,"2,510","13,623",5.88,0,659,220,16,55,"1,260"
9/16/2015,"2,432","14,250",6.5,0,675,216,32,25,"1,165"
9/17/2015,"2,594","17,009",7.71,0,674,230,27,53,"1,368"
9/18/2015,"2,074","7,050",3,0,755,193,17,0,732
9/19/2015,"1,913","4,251",1.81,0,735,171,0,0,537
9/20/2015,"2,195","11,047",5.44,0,655,154,1,38,861
9/21/2015,"2,516","15,494",7.02,0,663,206,26,49,"1,259"
9/22/2015,"2,199","9,582",4.08,0,722,186,10,28,882
9/23/2015,"2,511","15,725",7.14,0,688,190,19,63,"1,252"
9/24/2015,"2,038","6,217",2.65,0,782,186,9,0,668
9/25/2015,"2,461","14,023",6.08,0,752,139,32,71,"1,141"
9/26/2015,"1,969","4,927",2.1,0,710,197,0,0,625
9/27/2015,"1,951","4,713",2.01,0,621,195,0,0,608
9/28/2015,"2,499","15,361",7.02,0,699,189,14,53,"1,208"
9/29/2015,"2,407","11,671",5.05,0,691,182,16,51,"1,119"
9/30/2015,"2,466","14,548",6.55,0,676,212,14,45,"1,202"
10/1/2015,"2,422","13,873",6.3,0,730,193,9,49,"1,124"
10/2/2015,"2,165","8,749",3.72,0,742,188,12,14,827
10/3/2015,"1,809","3,090",1.32,0,731,129,0,0,402
10/4/2015,"1,993","5,339",2.27,0,633,196,0,0,641
10/5/2015,"2,246","10,156",4.32,0,703,192,14,35,949
10/6/2015,"2,560","16,374",7.52,0,678,199,13,64,"1,298"
10/7/2015,"2,534","16,027",7.35,0,686,204,20,54,"1,273"
10/8/2015,"2,184","9,628",4.32,0,794,166,12,26,837
10/9/2015,"2,299","11,343",5.11,0,760,186,23,24,966
10/10/2015,"2,120","7,959",3.39,0,619,227,2,8,833
10/11/2015,"1,920","4,811",2.05,0,628,157,4,8,562
10/12/2015,"2,720","19,473",8.81,0,627,185,67,67,"1,500"
10/13/2015,"2,603","17,092",7.76,0,663,204,20,63,"1,350"
10/14/2015,"2,506","13,103",5.58,0,641,209,25,47,"1,238"
10/15/2015,"2,111","7,487",3.19,0,762,214,0,0,768
10/16/2015,"2,627","17,699",8.03,0,734,187,12,78,"1,356"
